SUMLEV,CBSA,NAME,LSAD,POPESTIMATE2020,POPEST_MALE2020,POPEST_FEMALE2020,MEDIAN_AGE_TOTAL2020,MEDIAN_AGE_MALE2020,MEDIAN_AGE_FEMALE2020,POPESTIMATE2021,POPEST_MALE2021,POPEST_FEMALE2021,MEDIAN_AGE_TOTAL2021,MEDIAN_AGE_MALE2021,MEDIAN_AGE_FEMALE2021
310,10100,"Aberdeen, SD",Micropolitan Statistical Area,42187,20937,21250,38.3,37.7,39,42134,20903,21231,38.6,38,39.2
310,10140,"Aberdeen, WA",Micropolitan Statistical Area,75811,38877,36934,44.4,43.2,45.8,76841,39448,37393,44.5,43.5,45.9
310,10180,"Abilene, TX",Metropolitan Statistical Area,176809,89408,87401,34.2,33.2,35.2,177314,89671,87643,34.3,33.5,35.3
310,10220,"Ada, OK",Micropolitan Statistical Area,38077,18620,19457,35.9,34.9,37,38163,18561,19602,35.9,35,36.9
310,10300,"Adrian, MI",Micropolitan Statistical Area,99214,50413,48801,41.9,40.5,43.6,98956,50297,48659,42.1,40.8,43.7
310,10420,"Akron, OH",Metropolitan Statistical Area,701305,342719,358586,40.6,39.6,41.7,700015,341789,358226,40.7,39.7,41.8
310,10460,"Alamogordo, NM",Micropolitan Statistical Area,67861,35240,32621,36.2,34.5,38.4,68537,35682,32855,36.5,34.7,38.5
310,10500,"Albany, GA",Metropolitan Statistical Area,148417,70496,77921,37.5,35.9,38.9,147773,70139,77634,37.6,35.9,39
310,10540,"Albany-Lebanon, OR",Metropolitan Statistical Area,128936,64141,64795,39.9,39.1,40.7,129839,64524,65315,39.8,39,40.6
310,10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,898561,442219,456342,40.5,39.3,41.7,899286,442304,456982,40.6,39.4,41.7
310,10620,"Albemarle, NC",Micropolitan Statistical Area,62609,31388,31221,41.5,40.2,42.8,63425,31803,31622,41.3,40,42.5
310,10660,"Albert Lea, MN",Micropolitan Statistical Area,30883,15528,15355,43.7,42.7,44.8,30749,15440,15309,43.6,42.6,44.8
310,10700,"Albertville, AL",Micropolitan Statistical Area,97608,48350,49258,38.8,37.4,40.1,98228,48603,49625,38.6,37.4,39.9
310,10740,"Albuquerque, NM",Metropolitan Statistical Area,917179,453704,463475,38.9,37.8,40.1,918259,453922,464337,39.2,38.2,40.4
310,10760,"Alexander City, AL",Micropolitan Statistical Area,51612,25372,26240,46.6,45.7,47.4,51473,25290,26183,46.9,45.9,47.7
310,10780,"Alexandria, LA",Metropolitan Statistical Area,151736,75560,76176,38,36.4,39.7,150890,75129,75761,38.1,36.5,39.8
310,10820,"Alexandria, MN",Micropolitan Statistical Area,39079,19748,19331,43.6,42.3,45.1,39238,19784,19454,43.8,42.6,45.2
310,10860,"Alice, TX",Micropolitan Statistical Area,48621,24393,24228,35.7,34.4,37,48603,24298,24305,35.8,34.6,37
310,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,861705,426230,435475,41.2,39.9,42.5,865310,428166,437144,41.2,40,42.4
310,10940,"Alma, MI",Micropolitan Statistical Area,41662,22483,19179,39.7,38.6,41.4,41544,22481,19063,39.6,38.5,41.2
310,10980,"Alpena, MI",Micropolitan Statistical Area,28877,14399,14478,47.7,45.7,49.4,28893,14401,14492,47.5,45.4,49.5
310,11020,"Altoona, PA",Metropolitan Statistical Area,122518,60425,62093,43.3,41.7,45,121767,60039,61728,43.3,41.7,44.9
310,11060,"Altus, OK",Micropolitan Statistical Area,24731,12400,12331,34.8,33.8,35.9,24777,12409,12368,35,34.2,36
310,11100,"Amarillo, TX",Metropolitan Statistical Area,268820,135320,133500,35.7,35.2,36.2,269703,135950,133753,36,35.5,36.5
310,11140,"Americus, GA",Micropolitan Statistical Area,34091,16165,17926,37.2,35.4,38.9,33761,15996,17765,37.3,35.4,39
310,11180,"Ames, IA",Metropolitan Statistical Area,125306,65306,60000,30.3,28.6,32.2,126195,65638,60557,30.6,29,32.3
310,11220,"Amsterdam, NY",Micropolitan Statistical Area,49433,24523,24910,40.5,39.6,41.5,49558,24654,24904,40.3,39.3,41.3
310,11260,"Anchorage, AK",Metropolitan Statistical Area,398097,204718,193379,35.1,34.6,35.7,398807,205103,193704,35.4,34.9,35.9
310,11380,"Andrews, TX",Micropolitan Statistical Area,18612,9541,9071,31.4,31.3,31.6,18440,9418,9022,32,31.9,32.1
310,11420,"Angola, IN",Micropolitan Statistical Area,34440,17506,16934,43.9,42.6,45.3,34632,17653,16979,44.1,42.7,45.5
310,11460,"Ann Arbor, MI",Metropolitan Statistical Area,371656,184873,186783,34.3,33.4,35.3,369390,183523,185867,34.7,33.8,35.7
310,11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,116266,56287,59979,40.1,38.6,41.4,115972,56089,59883,40.1,38.7,41.5
310,11540,"Appleton, WI",Metropolitan Statistical Area,243308,122467,120841,39.3,38.5,40.1,244084,122872,121212,39.4,38.7,40.3
310,11580,"Arcadia, FL",Micropolitan Statistical Area,34080,19150,14930,41.5,40,44.5,34408,19266,15142,42.1,40.6,45.1
310,11620,"Ardmore, OK",Micropolitan Statistical Area,58146,28630,29516,38.1,37,39.3,58507,28767,29740,38.1,37,39.2
310,11660,"Arkadelphia, AR",Micropolitan Statistical Area,21362,10241,11121,33,32,33.9,21321,10237,11084,32.6,31.6,33.6
310,11700,"Asheville, NC",Metropolitan Statistical Area,469454,227044,242410,44.5,43.2,45.9,472341,228238,244103,44.7,43.4,46
310,11740,"Ashland, OH",Micropolitan Statistical Area,52420,25890,26530,40.3,39.3,41.4,52316,25810,26506,40.4,39.5,41.4
310,11780,"Ashtabula, OH",Micropolitan Statistical Area,97413,49370,48043,42.7,41.3,44.1,97337,49447,47890,42.6,41.2,44.2
310,11820,"Astoria, OR",Micropolitan Statistical Area,41089,20426,20663,44.6,43.8,45.5,41810,20802,21008,44.8,44,45.5
310,11860,"Atchison, KS",Micropolitan Statistical Area,16305,7941,8364,37.3,36.6,38,16239,7917,8322,37.6,36.9,38.3
310,11900,"Athens, OH",Micropolitan Statistical Area,62350,31132,31218,31.4,30.9,31.9,62056,30958,31098,31.6,31.1,32
310,11940,"Athens, TN",Micropolitan Statistical Area,53315,26212,27103,42.9,41.7,44,54059,26601,27458,42.7,41.5,43.8
310,11980,"Athens, TX",Micropolitan Statistical Area,82348,40600,41748,43.9,42.4,45.4,83667,41133,42534,43.8,42.3,45.3
310,12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,215638,104241,111397,33.3,32.5,34,217759,105199,112560,33.5,32.7,34.2
