StateName,RegionName,pop20,JulyValue20,pop21,JulyValue21
AK,"Anchorage Borough",290637,224888,288121,245525
AK,"Juneau Borough",32195,293249,31973,312143
AK,"Kodiak Island Borough",13023,235576,12787,252048
AK,"Ketchikan Gateway Borough",13902,183651,13754,196853
AK,"Kenai Peninsula Borough",58893,159204,59767,173010
AK,"Matanuska Susitna Borough",107460,180867,110686,170911
AK,"Fairbanks North Star Borough",95286,106747,95593,115739
AL,"Morgan County",123336,84235,123668,100221
AL,"Calhoun County",116266,46506,115972,53813
AL,"Butler County",19045,35315,18884,39787
AL,"Pickens County",19062,49374,18801,55736
AL,"Marengo County",19264,41837,18996,48605
AL,"Etowah County",103393,36031,103162,40958
AL,"Houston County",107190,72903,107458,80067
AL,"Baldwin County",233140,163939,239294,191301
AL,"Tuscaloosa County",227153,112039,227007,123242
AL,"Macon County",19476,32530,18895,37561
AL,"Shelby County",223708,168348,226902,191429
AL,"Washington County",15296,0,15147,67403
AL,"Henry County",17167,56162,17459,59695
AL,"Marshall County",97608,75661,98228,90372
AL,"Lauderdale County",93610,65955,94043,78470
AL,"Fayette County",16307,38721,16148,43960
AL,"Bibb County",22223,65175,22477,70575
AL,"Saint Clair County",91333,155916,92748,177981
AL,"Limestone County",104322,119424,107517,141926
AL,"Monroe County",19723,47781,19648,58586
AL,"Talladega County",82069,52530,81524,59061
AL,"Cullman County",88044,97384,89496,110873
AL,"Elmore County",88116,107886,89304,124368
AL,"Winston County",23491,49188,23652,53803
AL,"Hale County",14792,50002,14754,59634
AL,"Madison County",389696,126993,395211,152030
AL,"Clarke County",22995,60313,22760,64446
AL,"De Kalb County",71630,61932,71813,69628
AL,"Cherokee County",24958,69285,24996,78234
AL,"Cleburne County",15035,66701,15103,78194
AL,"Walker County",65100,63055,64818,68913
AL,"Geneva County",26675,46943,26701,51720
AL,"Barbour County",25180,48437,24964,58133
AL,"Marion County",29287,46750,29246,51737
AL,"Lamar County",13943,43373,13689,50477
AL,"Randolph County",21971,49978,21989,55967
AL,"Lee County",174601,136063,177218,153623
AL,"Franklin County",32063,50160,32013,55947
AL,"Blount County",59081,161436,59041,187017
AL,"Pike County",32981,58061,32991,63383
AL,"Chambers County",34678,34838,34541,39465
AL,"Clay County",14193,61989,14190,72272
AL,"Crenshaw County",13157,38682,13083,43310
AL,"Montgomery County",228448,45431,227434,52098
AL,"Autauga County",58877,161513,59095,171713
AL,"Colbert County",57236,60250,57474,67200
AL,"Lawrence County",33063,66268,33090,74114
AL,"Sumter County",12295,37096,12164,41373
AL,"Jefferson County",673341,67476,667820,78774
AL,"Conecuh County",11552,36277,11328,41436
AL,"Jackson County",52519,60142,52773,67726
AL,"Russell County",59226,49569,58722,56774
AL,"Covington County",37469,45756,37524,50282
AL,"Escambia County",36665,48189,36699,53963
AL,"Dale County",49214,56761,49342,61697
AL,"Coffee County",53565,71629,54174,80765
AL,"Greene County",7704,43196,7629,50049
AL,"Tallapoosa County",41229,56829,41023,63532
AL,"Mobile County",414250,62935,413073,74043
AL,"Wilcox County",10518,42110,10446,48303
AL,"Dallas County",38190,23812,37619,25638
AL,"Chilton County",45024,65555,45274,74856
AL,"Coosa County",10383,57164,10450,63653
AL,"Lowndes County",10297,40352,9965,44819
AL,"Bullock County",10309,0,10320,34810
AR,"Scott County",9811,52266,9822,55489
AR,"Pike County",10165,53734,10066,62988
AR,"Perry County",9997,52732,9964,60560
AR,"Bradley County",10498,35311,10408,34921
AR,"Lee County",8529,27612,8619,31999
AR,"Miller County",42570,42615,42649,46902
AR,"Montgomery County",8459,56758,8611,63007
AR,"Chicot County",10143,21003,10019,22501
AR,"Mississippi County",40503,40456,39661,47571
AR,"Union County",38925,32672,38340,36236
AR,"Greene County",45818,61294,46317,69370
AR,"Fulton County",12033,61289,12145,70594
AR,"Stone County",12364,66934,12481,74698
AR,"Baxter County",41655,86185,42144,100880
AR,"Nevada County",8284,24462,8187,27424
AR,"Crittenden County",48067,40781,47525,44048
AR,"Desha County",11330,26461,11090,29304
AR,"Little River County",11971,46495,11944,58448
AR,"Polk County",19182,51009,19353,57600
AR,"Faulkner County",123666,122346,125106,133422
AR,"Prairie County",8248,38880,8135,40373
AR,"Saline County",123681,121530,125233,138824
AR,"Izard County",13576,53648,13911,56044
AR,"Cleveland County",7544,57135,7514,56558
AR,"Arkansas County",17105,39987,16722,43605
AR,"Howard County",12755,37927,12698,41754
AR,"Boone County",37352,79845,37830,89133
AR,"Independence County",37892,56062,37723,59639
AR,"Conway County",20729,48051,20873,52222
AR,"Newton County",7198,89740,7204,103180
AR,"Craighead County",111576,93865,112218,104028
AR,"Benton County",286353,157913,293692,192012
AR,"Hot Spring County",33034,41657,33148,44727
AR,"Searcy County",7827,46659,7880,51607
AR,"Monroe County",6765,41003,6683,42891
AR,"Lincoln County",12879,32945,13037,33879
AR,"Dallas County",6445,22574,6308,25411
AR,"Lafayette County",6294,0,6163,27216
AR,"Pope County",63346,86451,63789,93971
AR,"Drew County",17309,50368,17110,55607
AR,"Saint Francis County",23046,23763,22739,25702
AR,"Crawford County",60107,71126,60378,77508
AR,"Carroll County",28202,87726,28435,95767
AR,"Woodruff County",6200,17281,6116,19029
AR,"Ouachita County",22592,22886,22306,25894
AR,"Lonoke County",74042,94435,74722,110911
AR,"Phillips County",16445,17270,15906,18241
AR,"Cleburne County",24665,80894,25015,91971
AR,"Franklin County",17122,53167,17173,58674
AR,"Johnson County",25692,68176,25845,75145
AR,"White County",76810,63968,77207,75466
AR,"Madison County",16551,64094,16960,73044
AR,"Jefferson County",66811,23238,65861,26100
AR,"Poinsett County",22893,34198,22660,35297
AR,"Columbia County",22741,45297,22672,47328
AR,"Clay County",14508,31203,14350,34472
AR,"Washington County",246662,147794,250057,182462
AR,"Calhoun County",4725,40994,4741,41926
AR,"Marion County",16862,77405,16978,86792
AR,"Clark County",21362,44648,21321,46791
AR,"Sevier County",15778,63724,15783,72746
AR,"Sebastian County",127739,0,128400,80659
AR,"Hempstead County",19993,34689,19694,34873
AR,"Pulaski County",399073,82140,397821,89154
AR,"Sharp County",17282,0,17622,52533
AR,"Logan County",21097,50946,21215,60415
AR,"Van Buren County",15765,56480,15694,61291
AR,"Jackson County",16737,29987,16811,31090
AR,"Lawrence County",16196,33783,16292,38759
AR,"Yell County",20216,50883,20155,58552
AR,"Garland County",100162,92678,100330,113112
AR,"Ashley County",18960,34951,18674,36876
AR,"Cross County",16762,42852,16681,46601
AR,"Randolph County",18581,49907,18865,51332
AZ,"Pinal County",429583,184487,449557,246414
AZ,"Yuma County",204437,135018,206990,167868
AZ,"Mohave County",214070,159257,217692,201701
AZ,"Apache County",65897,112895,65623,138342
AZ,"Yavapai County",237067,224335,242253,294673
AZ,"Pima County",1045599,165678,1052030,212002
AZ,"Cochise County",125398,99679,126050,114110
AZ,"Greenlee County",9522,51695,9404,61623
AZ,"Graham County",38614,128368,39050,154322
AZ,"Coconino County",145116,264826,145052,342860
AZ,"Navajo County",106802,145619,108147,188555
AZ,"Maricopa County",4438342,222316,4496588,292499
AZ,"Gila County",53306,133838,53589,170192
AZ,"La Paz County",16580,104651,16408,125033
AZ,"Santa Cruz County",47653,125630,47883,152903
CA,"Monterey County",438500,448791,437325,539564
CA,"Solano County",453274,382816,451716,458781
CA,"Plumas County",19769,179800,19915,208713
CA,"Kings County",152627,181808,153443,212072
CA,"Imperial County",179489,160950,179851,214292
CA,"Santa Barbara County",448096,382512,446475,468643
CA,"Madera County",156620,224041,159410,260458
CA,"Shasta County",181893,210240,182139,257289
CA,"Colusa County",21853,179086,21917,208281
CA,"Inyo County",19023,235562,18970,267588
CA,"Mariposa County",17124,221645,17147,257439
CA,"Napa County",137608,540809,136207,649710
CA,"Humboldt County",136351,266734,136310,316532
CA,"Tulare County",473736,181495,477054,215910
CA,"San Diego County",3297252,451973,3286069,568087
CA,"Orange County",3184101,547135,3167809,654399
CA,"Sonoma County",488345,502473,485887,584881
CA,"El Dorado County",191114,331724,193221,442268
CA,"Alpine County",1198,304515,1235,347121
CA,"Riverside County",2422764,305367,2458395,380385
CA,"Los Angeles County",9989165,470350,9829544,557479
CA,"San Bernardino County",2182740,238545,2194710,297862
CA,"Nevada County",102199,343174,103487,450603
CA,"Sierra County",3228,165969,3283,195495
CA,"Santa Clara County",1930598,826010,1885508,987842
CA,"Sutter County",99480,244501,99063,300902
CA,"Placer County",405741,402693,412300,485296
CA,"Alameda County",1679844,605095,1648556,746503
CA,"Mendocino County",91354,316816,91305,359730
CA,"Sacramento County",1586241,307963,1588921,382702
CA,"Stanislaus County",552710,279126,552999,338754
CA,"Yolo County",216255,357539,216986,417935
CA,"Yuba County",81932,229088,83421,274854
CA,"Contra Costa County",1165562,484666,1161413,607710
CA,"Lake County",68174,184228,68766,215634
CA,"Tehama County",65615,186262,65498,210017
CA,"Fresno County",1008966,201867,1013581,247168
CA,"Butte County",210083,225822,208309,260793
CA,"Tuolumne County",55516,0,55810,284371
CA,"San Benito County",64507,534697,66677,652425
CA,"Kern County",909997,170267,917673,204105
CA,"Ventura County",842921,478268,839784,580457
CA,"San Francisco County",870014,1012917,815201,1051654
CA,"Calaveras County",45327,254275,46221,330252
CA,"Siskiyou County",43962,138140,44118,161777
CA,"Modoc County",8658,75732,8661,88378
CA,"Marin County",261776,793680,260206,931541
CA,"Merced County",281726,225922,286461,279494
CA,"Glenn County",28893,188170,28805,220344
CA,"Santa Cruz County",270353,594078,267792,728119
CA,"San Mateo County",762453,990867,737888,1122550
CA,"San Joaquin County",780517,279622,789410,359919
CA,"San Luis Obispo County",282231,471404,283159,549576
CA,"Amador County",40541,235333,41259,272304
CA,"Del Norte County",27709,183896,28100,216452
CA,"Trinity County",16088,192800,16060,223613
CA,"Lassen County",32719,106221,33159,125003
CA,"Mono County",13206,311432,13247,361607
CO,"Delta County",31232,177494,31661,207655
CO,"Boulder County",330811,389187,329543,463613
CO,"Arapahoe County",655112,313846,654900,372973
CO,"Bent County",5635,39520,5759,47394
CO,"Denver County",717630,337322,711463,389376
CO,"San Juan County",710,214030,733,253625
CO,"Douglas County",360102,424500,368990,519935
CO,"Rio Blanco County",6518,138110,6476,156741
CO,"Saguache County",6383,99785,6471,116073
CO,"Pueblo County",168467,142101,169622,176519
CO,"Crowley County",5893,45960,6012,56085
CO,"Mesa County",155939,209642,157335,250421
CO,"Moffat County",13267,126139,13185,145060
CO,"Otero County",18667,51333,18594,60320
CO,"Mineral County",867,190458,924,228916
CO,"El Paso County",731847,264639,737867,337201
CO,"Adams County",520163,316845,522140,379895
CO,"Hinsdale County",794,233335,781,280472
CO,"Huerfano County",6810,78909,6920,92085
CO,"Chaffee County",19571,297187,20074,347213
CO,"Pitkin County",17342,499378,17348,580146
CO,"Larimer County",359686,335357,362533,386055
CO,"Jackson County",1376,122156,1363,142760
CO,"Montezuma County",25858,184449,26175,213004
CO,"Kiowa County",1452,53914,1452,62269
CO,"Logan County",21495,108584,21487,125961
CO,"Montrose County",42798,205272,43168,236583
CO,"Prowers County",11986,42710,11996,48891
CO,"Cheyenne County",1736,46491,1707,52587
CO,"Archuleta County",13424,220972,13790,258985
CO,"Dolores County",2338,95903,2397,107853
CO,"Morgan County",29065,151975,29008,177072
CO,"Rio Grande County",11538,109571,11408,124387
CO,"Summit County",30971,416403,30941,534422
CO,"Lincoln County",5669,72178,5688,84974
CO,"Yuma County",9979,90622,9941,101815
CO,"Weld County",331358,308388,340036,356919
CO,"Sedgwick County",2390,54077,2336,62189
CO,"Elbert County",26206,397478,27128,460736
CO,"Costilla County",3506,78053,3625,97469
CO,"Baca County",3486,0,3514,0
CO,"Lake County",7409,187565,7407,224349
CO,"San Miguel County",8055,348203,8074,405978
CO,"Fremont County",48981,166546,49661,189961
CO,"Teller County",24726,217934,24926,256142
CO,"Clear Creek County",9404,252269,9446,295708
CO,"Custer County",4712,145565,5045,171317
CO,"Grand County",15733,336431,15860,360808
CO,"Gunnison County",16945,250843,17281,294453
CO,"Gilpin County",5810,273428,5873,320061
CO,"La Plata County",55642,288684,56250,349632
CO,"Eagle County",55665,425004,55727,515432
CO,"Routt County",24839,321516,25091,420079
CO,"Ouray County",4869,333834,5035,390100
CO,"Las Animas County",14564,100352,14633,110359
CO,"Phillips County",4534,105330,4512,123517
CO,"Conejos County",7464,77790,7612,88271
CO,"Park County",17421,249419,17720,292477
CO,"Jefferson County",582928,369764,579581,456918
CO,"Washington County",4815,78514,4861,92703
CO,"Alamosa County",16362,125161,16547,142091
CO,"Kit Carson County",7064,101043,6950,118024
CO,"Broomfield County",74513,393797,75325,465486
CO,"Garfield County",61776,275030,62161,331952
CT,"Fairfield County",955895,243079,959768,295265
CT,"Hartford County",897932,152870,896854,179881
CT,"New Haven County",863498,160275,863700,200490
CT,"Litchfield County",184874,163229,185000,206221
CT,"Windham County",116240,160845,116418,194068
CT,"New London County",268248,177352,268805,216997
CT,"Tolland County",149650,181884,150293,218173
CT,"Middlesex County",163923,204788,164759,243382
DC,"District of Columbia",690093,391007,670050,418954
DC,"District of Columbia",690093,391007,670050,418954
DE,"New Castle County",570718,171652,571708,195605
DE,"Sussex County",238912,202977,247527,242385
DE,"Kent County",182256,175068,184149,201255
FL,"Marion County",377370,116270,385915,137808
FL,"Monroe County",82809,410510,82170,475924
FL,"Nassau County",90993,215116,94189,248802
FL,"Putnam County",73347,75098,74167,88929
FL,"Orange County",1429899,182694,1422746,208804
FL,"Washington County",25357,73018,25436,82220
FL,"Columbia County",69889,82289,70385,103005
FL,"Manatee County",401443,186740,412703,226109
FL,"Hillsborough County",1463380,179674,1478194,220441
FL,"Collier County",377079,212538,385980,256700
FL,"Palm Beach County",1492466,170647,1497987,200753
FL,"Liberty County",7974,51359,7900,57797
FL,"Union County",16126,87289,16335,96368
FL,"Gulf County",14181,101444,14363,116708
FL,"Walton County",75855,215197,80069,265491
FL,"Pinellas County",958752,151212,956615,189871
FL,"Duval County",996373,131938,999935,158466
FL,"Lafayette County",8252,69524,8382,82674
FL,"Jackson County",47214,59699,47694,68121
FL,"Sumter County",130897,216996,135638,226944
FL,"Alachua County",278684,131320,279238,149672
FL,"Gadsden County",43701,52424,43714,56780
FL,"Flagler County",115968,189246,120932,229737
FL,"Baker County",28309,105423,28715,124032
FL,"Hamilton County",13988,51470,13993,58658
FL,"Broward County",1941516,154784,1930983,176921
FL,"Brevard County",608007,158613,616628,191981
FL,"Dixie County",16805,58116,17102,67944
FL,"Hardee County",25313,63055,25425,72866
FL,"Gilchrist County",17928,94927,18360,108260
FL,"Clay County",218797,177496,222361,208359
FL,"Saint Johns County",276916,225518,292466,274311
FL,"Franklin County",12456,126618,12572,143880
FL,"Highlands County",101222,99377,103296,120462
FL,"Jefferson County",14560,86317,14555,94946
FL,"Suwannee County",43510,79878,44485,91076
FL,"Volusia County",554901,160201,564412,191893
FL,"Levy County",43051,114822,44158,132632
FL,"Okeechobee County",39641,122225,40266,105444
FL,"Osceola County",390855,191228,403282,213726
FL,"Hendry County",39707,85497,40313,99729
FL,"Miami-Dade County",2692459,212586,2662777,237034
FL,"Bradford County",28364,74788,28540,85969
FL,"Taylor County",21760,56497,21815,64561
FL,"Pasco County",565745,119371,584067,154047
FL,"Okaloosa County",211809,175835,213255,209098
FL,"Escambia County",322424,100512,322390,117449
FL,"Glades County",12179,75026,12234,86107
FL,"Sarasota County",435664,198141,447057,243301
FL,"Lake County",385875,167014,395804,196135
FL,"Indian River County",160345,159366,163662,182361
FL,"Leon County",292378,117602,292817,136359
FL,"Citrus County",154403,120023,158083,148250
FL,"Saint Lucie County",331275,171107,343579,207349
FL,"Martin County",158529,175122,159942,208517
FL,"Calhoun County",13615,44766,13641,50876
FL,"Madison County",17976,52314,18288,59764
FL,"Seminole County",471058,193466,470093,222082
FL,"Santa Rosa County",189133,160168,193998,191967
FL,"De Soto County",34080,86084,34408,99051
FL,"Hernando County",195508,145230,200638,179748
FL,"Holmes County",19622,65371,19784,71773
FL,"Lee County",764679,169724,787976,206159
FL,"Charlotte County",187960,156676,194843,192508
FL,"Polk County",729233,139620,753520,167116
FL,"Wakulla County",33907,109819,34690,124729
FL,"Bay County",174461,157528,179168,181558
GA,"Wayne County",30155,55790,30380,61939
GA,"Rockdale County",93614,149574,94082,181768
GA,"Barrow County",83963,172422,86658,211944
GA,"Walker County",67711,86065,68510,103844
GA,"Bulloch County",81378,0,82442,93025
GA,"Wilkes County",9556,42188,9513,48196
GA,"Taliaferro County",1557,32573,1558,40321
GA,"White County",28090,127460,28442,145852
GA,"Upson County",27712,38690,27720,44508
GA,"Toombs County",27052,51030,26911,57477
GA,"Tift County",41348,65692,41212,72901
GA,"Monroe County",28046,101574,28712,112131
GA,"Troup County",69388,53638,69720,58748
GA,"Stephens County",26800,66364,26865,74966
GA,"Towns County",12539,135598,12875,155639
GA,"Cherokee County",268043,224934,274615,269930
GA,"Quitman County",2224,36060,2243,38894
GA,"Webster County",2350,33903,2367,37101
GA,"Chattooga County",24921,40448,24932,45477
GA,"Peach County",28035,62780,28417,69636
GA,"Glascock County",2883,52889,2919,60989
GA,"Clay County",2835,36174,2882,40693
GA,"Candler County",11001,57571,11037,63545
GA,"Decatur County",29338,43797,29038,49623
GA,"Madison County",30263,101827,30885,115916
GA,"Tattnall County",22852,55176,23052,60996
GA,"Baker County",2844,34141,2819,37585
GA,"Gilmer County",31429,149316,32026,172973
GA,"Lee County",33179,132038,33411,146538
GA,"Hart County",25866,85922,26409,98090
GA,"Grady County",26221,61651,25918,68762
GA,"Evans County",10757,47287,10672,53670
GA,"Early County",10813,40176,10619,43585
GA,"Bacon County",11123,41169,11079,45773
GA,"Chattahoochee County",9482,33638,9048,37059
GA,"Jones County",28356,73748,28400,82936
GA,"Haralson County",29985,84494,30572,96293
GA,"Spalding County",67413,87040,67909,104504
GA,"Bibb County",157104,39001,156762,48078
GA,"Pierce County",19722,65711,19976,75024
GA,"Echols County",3696,60158,3699,65873
GA,"Catoosa County",67976,117458,68397,141696
GA,"Pickens County",33333,137873,34024,156512
GA,"Liberty County",65220,108810,65711,123647
GA,"Lumpkin County",33596,150082,34278,171757
GA,"Fannin County",25396,150571,25817,173239
GA,"Heard County",11465,70380,11565,78913
GA,"Bryan County",44999,172803,46938,188888
GA,"Pulaski County",9863,44642,9917,49629
GA,"Charlton County",12530,56514,12766,65488
GA,"Lanier County",9916,60964,9907,69019
GA,"Butts County",25542,80576,25781,91589
GA,"Dekalb County",763831,165552,757718,199716
GA,"Johnson County",9168,32608,9160,36486
GA,"Mitchell County",21677,38884,21521,43481
GA,"Crisp County",20042,37085,19879,40423
GA,"Burke County",24621,47516,24310,53984
GA,"Schley County",4538,59309,4478,65657
GA,"Harris County",34927,130714,35626,146985
GA,"Jackson County",76712,179202,80286,220040
GA,"Cobb County",766209,205839,766802,250810
GA,"Forsyth County",252786,274489,260206,333971
GA,"Crawford County",12100,62891,12153,70673
GA,"Henry County",241818,164050,245235,201044
GA,"Bleckley County",12577,50268,12607,55892
GA,"Gordon County",57696,97330,58237,111424
GA,"Wilkinson County",8844,34816,8831,38603
GA,"Irwin County",9643,45668,9618,51030
GA,"Emanuel County",22730,35262,22716,39480
GA,"Glynn County",84470,112007,84739,129136
GA,"Paulding County",169660,0,173780,211991
GA,"Oconee County",42021,227130,43023,242162
GA,"Sumter County",29553,40654,29283,45543
GA,"Hancock County",8722,35033,8630,39363
GA,"Jasper County",14638,80840,15278,92989
GA,"Terrell County",9153,32503,8964,34995
GA,"Houston County",164242,99978,166829,111532
GA,"McIntosh County",10982,79080,11123,87681
GA,"Effingham County",65150,141145,66741,165783
GA,"Wilcox County",8731,30947,8739,34118
GA,"Dawson County",27047,235602,28497,270709
GA,"Long County",16287,103829,17152,114302
GA,"Franklin County",23429,76419,23785,87693
GA,"Screven County",14060,45405,14105,50622
GA,"Meriwether County",20619,44070,20793,49700
GA,"Walton County",97135,168163,99853,200193
GA,"McDuffie County",21587,67904,21633,74036
GA,"Warren County",5205,30711,5240,35312
GA,"Dodge County",19849,41409,19759,46211
GA,"Montgomery County",8577,47910,8653,54081
GA,"Camden County",54911,0,55664,158485
GA,"Gwinnett County",957801,210112,964546,260927
GA,"Twiggs County",7986,39328,7856,45055
GA,"Macon County",12021,27745,12004,30693
GA,"Turner County",8971,30445,8966,34973
GA,"Hall County",203589,177102,207369,213268
GA,"Worth County",20719,55609,20554,62607
GA,"Richmond County",206328,0,205673,93811
GA,"Taylor County",7814,37386,7799,41758
GA,"Oglethorpe County",14865,98142,15140,115500
GA,"Dooly County",11142,36949,10885,40620
GA,"Douglas County",144497,153356,145814,192946
GA,"Stewart County",5295,25996,5341,28525
GA,"Jeff Davis County",14777,44566,14872,51063
GA,"Union County",24766,146785,25521,167843
GA,"Putnam County",22140,107566,22585,122865
GA,"Washington County",19927,39591,19785,43875
GA,"Laurens County",49497,50720,49547,56368
GA,"Miller County",5987,50977,5919,57619
GA,"Marion County",7520,49493,7440,56722
GA,"Seminole County",9138,43851,9197,49128
GA,"Greene County",19025,103710,19536,119824
GA,"Brooks County",16232,42299,16270,47182
GA,"Baldwin County",43773,60874,43781,69096
GA,"Dougherty County",85366,36471,84844,40420
GA,"Colquitt County",45866,41698,45812,46704
GA,"Rabun County",16894,136077,17119,156678
GA,"Floyd County",98593,83678,98771,99294
GA,"Coweta County",146653,173193,149956,205670
GA,"Telfair County",12461,25446,12414,28784
GA,"Thomas County",45766,61818,45842,70104
GA,"Dade County",16224,87301,16326,100732
GA,"Atkinson County",8301,35008,8391,40402
GA,"Ware County",36218,31406,36033,35883
GA,"Jenkins County",8662,32442,8639,37577
GA,"Muscogee County",206960,64002,205617,75260
GA,"Columbia County",156773,155486,159639,177003
GA,"Fulton County",1069023,188476,1065334,219989
GA,"Elbert County",19627,49118,19579,55417
GA,"Lincoln County",7704,72037,7749,83152
GA,"Calhoun County",5560,26848,5509,29014
GA,"Newton County",112780,139284,115355,168608
GA,"Bartow County",109311,148716,110843,177643
GA,"Jefferson County",15658,32812,15524,36803
GA,"Habersham County",46105,78939,46774,89931
GA,"Cook County",17232,44198,17225,49386
GA,"Coffee County",43047,53805,43386,59861
GA,"Clayton County",297417,107981,297100,130573
GA,"Clinch County",6723,34869,6725,39343
GA,"Ben Hill County",17153,34058,17158,38361
GA,"Whitfield County",102727,127881,102848,146960
GA,"Randolph County",6377,28508,6287,31488
GA,"Berrien County",18159,51236,18147,58244
GA,"Fayette County",119441,232841,120574,263121
GA,"Carroll County",119463,134024,121968,159276
GA,"Chatham County",294904,135796,296329,158423
GA,"Polk County",42925,52820,43496,62069
