StateName,RegionName,pop20,JulyValue20,pop21,JulyValue21
AK,"Anchorage Borough",290637,328873,288121,353655
AK,"Juneau Borough",32195,405685,31973,431169
AK,"Kodiak Island Borough",13023,325120,12787,347422
AK,"Ketchikan Gateway Borough",13902,312472,13754,334442
AK,"Kenai Peninsula Borough",58893,247872,59767,266969
AK,"Matanuska Susitna Borough",107460,271181,110686,255532
AK,"Fairbanks North Star Borough",95286,182846,95593,197694
AL,"Morgan County",123336,145399,123668,171687
AL,"Calhoun County",116266,107138,115972,126308
AL,"Butler County",19045,76896,18884,85150
AL,"Pickens County",19062,94457,18801,106605
AL,"Marengo County",19264,90915,18996,106347
AL,"Etowah County",103393,97582,103162,111114
AL,"Houston County",107190,135782,107458,148961
AL,"Baldwin County",233140,249663,239294,290466
AL,"Tuscaloosa County",227153,182432,227007,200720
AL,"Macon County",19476,55144,18895,62319
AL,"Shelby County",223708,246921,226902,280668
AL,"Washington County",15296,0,15147,108738
AL,"Henry County",17167,115979,17459,123009
AL,"Marshall County",97608,142261,98228,163147
AL,"Lauderdale County",93610,128287,94043,151065
AL,"Fayette County",16307,80330,16148,90467
AL,"Bibb County",22223,133701,22477,147789
AL,"Saint Clair County",91333,206446,92748,231087
AL,"Limestone County",104322,195734,107517,230430
AL,"Monroe County",19723,80535,19648,93487
AL,"Talladega County",82069,110655,81524,124256
AL,"Cullman County",88044,147001,89496,165178
AL,"Elmore County",88116,174927,89304,201095
AL,"Winston County",23491,114531,23652,125429
AL,"Hale County",14792,97575,14754,112954
AL,"Madison County",389696,211492,395211,251166
AL,"Clarke County",22995,103046,22760,111731
AL,"De Kalb County",71630,113246,71813,126493
AL,"Cherokee County",24958,132369,24996,149287
AL,"Cleburne County",15035,116374,15103,132889
AL,"Walker County",65100,120536,64818,131293
AL,"Geneva County",26675,94731,26701,103623
AL,"Barbour County",25180,95841,24964,110035
AL,"Marion County",29287,88694,29246,97604
AL,"Lamar County",13943,76742,13689,87551
AL,"Randolph County",21971,107742,21989,119846
AL,"Lee County",174601,211895,177218,235707
AL,"Franklin County",32063,89695,32013,99795
AL,"Blount County",59081,221145,59041,252810
AL,"Pike County",32981,121090,32991,131662
AL,"Chambers County",34678,72239,34541,81040
AL,"Clay County",14193,103285,14190,118922
AL,"Crenshaw County",13157,79263,13083,88837
AL,"Montgomery County",228448,106533,227434,120272
AL,"Autauga County",58877,212651,59095,221108
AL,"Colbert County",57236,116247,57474,129142
AL,"Lawrence County",33063,120609,33090,133449
AL,"Sumter County",12295,57629,12164,63020
AL,"Jefferson County",673341,156394,667820,179763
AL,"Conecuh County",11552,74063,11328,83440
AL,"Jackson County",52519,113859,52773,127013
AL,"Russell County",59226,106190,58722,119122
AL,"Covington County",37469,98173,37524,107921
AL,"Escambia County",36665,97835,36699,109582
AL,"Dale County",49214,100182,49342,109148
AL,"Coffee County",53565,136532,54174,151981
AL,"Greene County",7704,77434,7629,87775
AL,"Tallapoosa County",41229,147265,41023,164235
AL,"Mobile County",414250,134595,413073,157162
AL,"Wilcox County",10518,88700,10446,92094
AL,"Dallas County",38190,58088,37619,62531
AL,"Chilton County",45024,129975,45274,146017
AL,"Coosa County",10383,119985,10450,130268
AL,"Lowndes County",10297,77918,9965,85041
AL,"Bullock County",10309,0,10320,76635
AR,"Scott County",9811,84471,9822,92885
AR,"Pike County",10165,90507,10066,105329
AR,"Perry County",9997,90526,9964,102286
AR,"Bradley County",10498,65285,10408,67320
AR,"Lee County",8529,45945,8619,50394
AR,"Miller County",42570,106780,42649,117350
AR,"Montgomery County",8459,105427,8611,116004
AR,"Chicot County",10143,49056,10019,51090
AR,"Mississippi County",40503,90321,39661,95714
AR,"Union County",38925,81797,38340,89981
AR,"Greene County",45818,114707,46317,129191
AR,"Fulton County",12033,114671,12145,129601
AR,"Stone County",12364,117235,12481,126822
AR,"Baxter County",41655,133777,42144,154383
AR,"Nevada County",8284,49823,8187,54894
AR,"Crittenden County",48067,105474,47525,114828
AR,"Desha County",11330,51498,11090,55652
AR,"Little River County",11971,85159,11944,102049
AR,"Polk County",19182,97879,19353,109443
AR,"Faulkner County",123666,169857,125106,184923
AR,"Prairie County",8248,81902,8135,85808
AR,"Saline County",123681,178546,125233,202487
AR,"Izard County",13576,92639,13911,98392
AR,"Cleveland County",7544,95948,7514,99520
AR,"Arkansas County",17105,83376,16722,91219
AR,"Howard County",12755,82291,12698,89943
AR,"Boone County",37352,128804,37830,142688
AR,"Independence County",37892,100561,37723,110265
AR,"Conway County",20729,96960,20873,105419
AR,"Newton County",7198,121982,7204,138636
AR,"Craighead County",111576,149300,112218,162006
AR,"Benton County",286353,216579,293692,263779
AR,"Hot Spring County",33034,101203,33148,110308
AR,"Searcy County",7827,87538,7880,97260
AR,"Monroe County",6765,62900,6683,63851
AR,"Lincoln County",12879,74372,13037,82804
AR,"Dallas County",6445,43212,6308,48412
AR,"Lafayette County",6294,0,6163,47838
AR,"Pope County",63346,132031,63789,142959
AR,"Drew County",17309,101059,17110,111709
AR,"Saint Francis County",23046,53773,22739,57931
AR,"Crawford County",60107,125473,60378,137094
AR,"Carroll County",28202,149400,28435,163447
AR,"Woodruff County",6200,44357,6116,47586
AR,"Ouachita County",22592,58307,22306,59255
AR,"Lonoke County",74042,142977,74722,166442
AR,"Phillips County",16445,30314,15906,31322
AR,"Cleburne County",24665,151293,25015,168921
AR,"Franklin County",17122,98152,17173,108591
AR,"Johnson County",25692,106105,25845,116648
AR,"White County",76810,118165,77207,138528
AR,"Madison County",16551,112894,16960,128635
AR,"Jefferson County",66811,60200,65861,67422
AR,"Poinsett County",22893,71643,22660,75603
AR,"Columbia County",22741,91580,22672,98869
AR,"Clay County",14508,60198,14350,65637
AR,"Washington County",246662,201585,250057,246368
AR,"Calhoun County",4725,61812,4741,66829
AR,"Marion County",16862,127494,16978,141946
AR,"Clark County",21362,92169,21321,98652
AR,"Sevier County",15778,101138,15783,112927
AR,"Sebastian County",127739,127430,128400,141913
AR,"Hempstead County",19993,72756,19694,75871
AR,"Pulaski County",399073,146924,397821,158829
AR,"Sharp County",17282,79658,17622,86794
AR,"Logan County",21097,83312,21215,94956
AR,"Van Buren County",15765,97685,15694,105549
AR,"Jackson County",16737,60017,16811,64269
AR,"Lawrence County",16196,66029,16292,75141
AR,"Yell County",20216,88108,20155,100061
AR,"Garland County",100162,160778,100330,193895
AR,"Ashley County",18960,62871,18674,65969
AR,"Cross County",16762,90170,16681,97775
AR,"Randolph County",18581,93344,18865,96731
AZ,"Pinal County",429583,251335,449557,332029
AZ,"Yuma County",204437,172519,206990,215276
AZ,"Mohave County",214070,248122,217692,317484
AZ,"Apache County",65897,186256,65623,225486
AZ,"Yavapai County",237067,329506,242253,428002
AZ,"Pima County",1045599,232017,1052030,290755
AZ,"Cochise County",125398,169059,126050,194475
AZ,"Greenlee County",9522,95968,9404,114519
AZ,"Graham County",38614,190602,39050,227763
AZ,"Coconino County",145116,383438,145052,499566
AZ,"Navajo County",106802,236927,108147,309982
AZ,"Maricopa County",4438342,307822,4496588,401621
AZ,"Gila County",53306,237599,53589,295186
AZ,"La Paz County",16580,197444,16408,238017
AZ,"Santa Cruz County",47653,171357,47883,206833
CA,"Monterey County",438500,615297,437325,732822
CA,"Solano County",453274,460945,451716,549894
CA,"Plumas County",19769,279534,19915,323801
CA,"Kings County",152627,243029,153443,282791
CA,"Imperial County",179489,223170,179851,284915
CA,"Santa Barbara County",448096,657903,446475,799154
CA,"Madera County",156620,295690,159410,345035
CA,"Shasta County",181893,280932,182139,342979
CA,"Colusa County",21853,254330,21917,293880
CA,"Inyo County",19023,368818,18970,417480
CA,"Mariposa County",17124,303048,17147,347646
CA,"Napa County",137608,698543,136207,839517
CA,"Humboldt County",136351,333693,136310,392841
CA,"Tulare County",473736,238990,477054,282828
CA,"San Diego County",3297252,616451,3286069,776488
CA,"Orange County",3184101,757257,3167809,906032
CA,"Sonoma County",488345,650130,485887,756199
CA,"El Dorado County",191114,470922,193221,629128
CA,"Alpine County",1198,413936,1235,463245
CA,"Riverside County",2422764,407682,2458395,509821
CA,"Los Angeles County",9989165,655169,9829544,777119
CA,"San Bernardino County",2182740,368587,2194710,455640
CA,"Nevada County",102199,473703,103487,625147
CA,"Sierra County",3228,250691,3283,292953
CA,"Santa Clara County",1930598,1220262,1885508,1461056
CA,"Sutter County",99480,330690,99063,399762
CA,"Placer County",405741,524639,412300,635915
CA,"Alameda County",1679844,888815,1648556,1114164
CA,"Mendocino County",91354,413999,91305,472322
CA,"Sacramento County",1586241,395916,1588921,488705
CA,"Stanislaus County",552710,343721,552999,412537
CA,"Yolo County",216255,475015,216986,553151
CA,"Yuba County",81932,297648,83421,349685
CA,"Contra Costa County",1165562,679879,1161413,857032
CA,"Lake County",68174,251259,68766,307982
CA,"Tehama County",65615,247656,65498,297352
CA,"Fresno County",1008966,277209,1013581,337197
CA,"Butte County",210083,326289,208309,376559
CA,"Tuolumne County",55516,0,55810,353802
CA,"San Benito County",64507,636490,66677,769958
CA,"Kern County",909997,238758,917673,285243
CA,"Ventura County",842921,620685,839784,749816
CA,"San Francisco County",870014,1407248,815201,1478500
CA,"Calaveras County",45327,337776,46221,426976
CA,"Siskiyou County",43962,217065,44118,251922
CA,"Modoc County",8658,133686,8661,153696
CA,"Marin County",261776,1207952,260206,1419571
CA,"Merced County",281726,284398,286461,350156
CA,"Glenn County",28893,255472,28805,298598
CA,"Santa Cruz County",270353,872799,267792,1091642
CA,"San Mateo County",762453,1399289,737888,1582321
CA,"San Joaquin County",780517,382850,789410,489328
CA,"San Luis Obispo County",282231,640343,283159,745337
CA,"Amador County",40541,320212,41259,366081
CA,"Del Norte County",27709,276072,28100,304382
CA,"Trinity County",16088,279604,16060,319091
CA,"Lassen County",32719,176454,33159,206049
CA,"Mono County",13206,476117,13247,551586
CO,"Delta County",31232,266209,31661,309550
CO,"Boulder County",330811,578557,329543,691242
CO,"Arapahoe County",655112,417764,654900,497485
CO,"Bent County",5635,70072,5759,84836
CO,"Denver County",717630,477010,711463,551323
CO,"San Juan County",710,292737,733,339767
CO,"Douglas County",360102,534113,368990,653953
CO,"Rio Blanco County",6518,236610,6476,266759
CO,"Saguache County",6383,175961,6471,205943
CO,"Pueblo County",168467,210835,169622,255242
CO,"Crowley County",5893,72844,6012,89070
CO,"Mesa County",155939,282402,157335,335765
CO,"Moffat County",13267,203485,13185,233731
CO,"Otero County",18667,96769,18594,113176
CO,"Mineral County",867,284709,924,336381
CO,"El Paso County",731847,338499,737867,426103
CO,"Adams County",520163,383149,522140,460341
CO,"Hinsdale County",794,325909,781,376316
CO,"Huerfano County",6810,158657,6920,186340
CO,"Chaffee County",19571,411508,20074,477009
CO,"Pitkin County",17342,1365724,17348,1576989
CO,"Larimer County",359686,425253,362533,489302
CO,"Jackson County",1376,179381,1363,195989
CO,"Montezuma County",25858,269418,26175,309485
CO,"Kiowa County",1452,94747,1452,109837
CO,"Logan County",21495,182226,21487,210220
CO,"Montrose County",42798,291593,43168,335071
CO,"Prowers County",11986,92884,11996,106991
CO,"Cheyenne County",1736,104957,1707,120468
CO,"Archuleta County",13424,344462,13790,402039
CO,"Dolores County",2338,175163,2397,195456
CO,"Morgan County",29065,231957,29008,269261
CO,"Rio Grande County",11538,195710,11408,219404
CO,"Summit County",30971,665420,30941,836187
CO,"Lincoln County",5669,145958,5688,172120
CO,"Yuma County",9979,177244,9941,201023
CO,"Weld County",331358,390353,340036,450684
CO,"Sedgwick County",2390,93948,2336,108912
CO,"Elbert County",26206,543857,27128,628636
CO,"Costilla County",3506,115042,3625,136776
CO,"Baca County",3486,0,3514,0
CO,"Lake County",7409,272424,7407,322426
CO,"San Miguel County",8055,818383,8074,955837
CO,"Fremont County",48981,244978,49661,278802
CO,"Teller County",24726,337760,24926,395419
CO,"Clear Creek County",9404,403045,9446,471456
CO,"Custer County",4712,259280,5045,303316
CO,"Grand County",15733,530571,15860,565171
CO,"Gunnison County",16945,418370,17281,489553
CO,"Gilpin County",5810,387618,5873,454021
CO,"La Plata County",55642,430542,56250,524701
CO,"Eagle County",55665,770741,55727,906468
CO,"Routt County",24839,583408,25091,748214
CO,"Ouray County",4869,484752,5035,564662
CO,"Las Animas County",14564,144521,14633,167720
CO,"Phillips County",4534,161907,4512,187942
CO,"Conejos County",7464,135365,7612,152758
