StateName,RegionName,pop20,JulyValue20,pop21,JulyValue21
AK,"Juneau Borough",32195,524121,31973,558043
AK,"Fairbanks North Star Borough",95286,263504,95593,283575
AK,"Anchorage Borough",290637,461652,288121,494695
AK,"Kenai Peninsula Borough",58893,388404,59767,420193
AK,"Ketchikan Gateway Borough",13902,456568,13754,488050
AK,"Kodiak Island Borough",13023,442766,12787,473378
AK,"Matanuska Susitna Borough",107460,396742,110686,371993
AL,"Talladega County",82069,212863,81524,237426
AL,"Marion County",29287,169142,29246,183135
AL,"Coffee County",53565,249441,54174,267316
AL,"Cleburne County",15035,203598,15103,227510
AL,"Geneva County",26675,181582,26701,198599
AL,"Franklin County",32063,167949,32013,186513
AL,"Cullman County",88044,267112,89496,297226
AL,"Montgomery County",228448,225200,227434,248109
AL,"Shelby County",223708,392085,226902,442538
AL,"Tuscaloosa County",227153,298533,227007,325700
AL,"Saint Clair County",91333,307885,92748,344766
AL,"Calhoun County",116266,195810,115972,218985
AL,"Elmore County",88116,312062,89304,356909
AL,"Greene County",7704,146980,7629,165183
AL,"Baldwin County",233140,412656,239294,480306
AL,"Pike County",32981,214404,32991,233164
AL,"Lamar County",13943,146786,13689,166133
AL,"Fayette County",16307,159580,16148,176348
AL,"Chambers County",34678,147124,34541,165116
AL,"Lawrence County",33063,207217,33090,229233
AL,"Clarke County",22995,182125,22760,196796
AL,"Covington County",37469,191443,37524,210294
AL,"De Kalb County",71630,195842,71813,216358
AL,"Henry County",17167,233882,17459,250018
AL,"Winston County",23491,320904,23652,352980
AL,"Morgan County",123336,246225,123668,291396
AL,"Walker County",65100,229837,64818,249291
AL,"Limestone County",104322,300340,107517,355256
AL,"Clay County",14193,190528,14190,215846
AL,"Crenshaw County",13157,174163,13083,190411
AL,"Escambia County",36665,173035,36699,191800
AL,"Sumter County",12295,104245,12164,108341
AL,"Monroe County",19723,147582,19648,173640
AL,"Bullock County",10309,0,10320,139769
AL,"Washington County",15296,0,15147,209500
AL,"Bibb County",22223,217589,22477,235974
AL,"Randolph County",21971,241236,21989,266594
AL,"Lee County",174601,339918,177218,378820
AL,"Etowah County",103393,170685,103162,205490
AL,"Blount County",59081,301478,59041,338972
AL,"Madison County",389696,336366,395211,395315
AL,"Conecuh County",11552,143451,11328,164728
AL,"Tallapoosa County",41229,407323,41023,455696
AL,"Houston County",107190,232407,107458,252304
AL,"Chilton County",45024,229037,45274,255117
AL,"Dallas County",38190,138718,37619,151148
AL,"Jefferson County",673341,328271,667820,372538
AL,"Lowndes County",10297,185059,9965,208025
AL,"Macon County",19476,90006,18895,100651
AL,"Hale County",14792,182835,14754,208843
AL,"Coosa County",10383,285346,10450,313112
AL,"Lauderdale County",93610,229840,94043,268632
AL,"Pickens County",19062,167793,18801,187438
AL,"Marshall County",97608,264305,98228,312539
AL,"Mobile County",414250,229322,413073,264030
AL,"Dale County",49214,184714,49342,200849
AL,"Autauga County",58877,293565,59095,301368
AL,"Colbert County",57236,226394,57474,249598
AL,"Barbour County",25180,199484,24964,220524
AL,"Cherokee County",24958,232880,24996,258173
AL,"Wilcox County",10518,176614,10446,189368
AL,"Jackson County",52519,215410,52773,236098
AL,"Russell County",59226,194404,58722,215760
AL,"Marengo County",19264,188891,18996,211651
AL,"Butler County",19045,164049,18884,179437
AR,"Polk County",19182,173270,19353,190686
AR,"Conway County",20729,175917,20873,190531
AR,"Chicot County",10143,150641,10019,162102
AR,"Montgomery County",8459,211964,8611,235749
AR,"Garland County",100162,307110,100330,370166
AR,"Crittenden County",48067,194492,47525,213453
AR,"Fulton County",12033,184981,12145,208203
AR,"Craighead County",111576,240816,112218,261839
AR,"Stone County",12364,179791,12481,195705
AR,"Arkansas County",17105,166105,16722,181275
AR,"Drew County",17309,188900,17110,207134
AR,"Woodruff County",6200,97063,6116,105787
AR,"Cleburne County",24665,290369,25015,324476
AR,"Franklin County",17122,171597,17173,191979
AR,"Bradley County",10498,127194,10408,133256
AR,"Phillips County",16445,79958,15906,84167
AR,"Mississippi County",40503,157464,39661,174481
AR,"Desha County",11330,112854,11090,122334
AR,"Pike County",10165,174291,10066,199412
AR,"Ashley County",18960,127646,18674,136797
AR,"Jackson County",16737,119094,16811,127560
AR,"Scott County",9811,143465,9822,161237
AR,"Little River County",11971,145577,11944,173755
AR,"Lafayette County",6294,0,6163,123213
AR,"Randolph County",18581,168754,18865,179042
AR,"Miller County",42570,203578,42649,224188
AR,"Yell County",20216,156821,20155,176502
AR,"Calhoun County",4725,115152,4741,130855
AR,"Greene County",45818,188373,46317,210843
AR,"Union County",38925,187652,38340,205561
AR,"Carroll County",28202,265349,28435,292506
AR,"Baxter County",41655,228717,42144,261286
AR,"Logan County",21097,148502,21215,173323
AR,"Hempstead County",19993,148000,19694,158687
AR,"Cross County",16762,171604,16681,186568
AR,"Washington County",246662,324442,250057,394325
AR,"Dallas County",6445,95202,6308,103536
AR,"Clay County",14508,114148,14350,124365
AR,"Monroe County",6765,117302,6683,115098
AR,"Searcy County",7827,152013,7880,173492
AR,"Izard County",13576,176968,13911,192381
AR,"Pope County",63346,217581,63789,235388
AR,"Clark County",21362,171609,21321,184662
AR,"Ouachita County",22592,131238,22306,141295
AR,"Newton County",7198,165928,7204,180671
AR,"Saline County",123681,270762,125233,326277
AR,"Saint Francis County",23046,127024,22739,133190
AR,"Crawford County",60107,199101,60378,218779
AR,"Howard County",12755,159002,12698,173044
AR,"Lonoke County",74042,217083,74722,252906
AR,"Lawrence County",16196,110527,16292,123818
AR,"Cleveland County",7544,173832,7514,184053
AR,"Prairie County",8248,149704,8135,162012
AR,"Columbia County",22741,195874,22672,211190
AR,"Lincoln County",12879,149425,13037,165677
AR,"Sebastian County",127739,223603,128400,243299
AR,"Boone County",37352,205553,37830,228414
AR,"Independence County",37892,182300,37723,201073
AR,"Perry County",9997,177731,9964,199125
AR,"Van Buren County",15765,184790,15694,199666
AR,"Sharp County",17282,155242,17622,170044
AR,"Faulkner County",123666,268203,125106,293015
AR,"Hot Spring County",33034,186309,33148,202036
AR,"Nevada County",8284,93515,8187,106109
AR,"White County",76810,195103,77207,228534
AR,"Lee County",8529,83122,8619,94579
AR,"Jefferson County",66811,140463,65861,155835
AR,"Sevier County",15778,168674,15783,186283
AR,"Marion County",16862,204826,16978,230467
AR,"Benton County",286353,350395,293692,425781
AR,"Johnson County",25692,174751,25845,192841
AR,"Madison County",16551,196966,16960,222297
AR,"Poinsett County",22893,137938,22660,148285
AR,"Pulaski County",399073,274206,397821,293751
AZ,"Coconino County",145116,594906,145052,776495
AZ,"Pinal County",429583,330881,449557,431989
AZ,"Graham County",38614,279933,39050,333542
AZ,"Greenlee County",9522,178977,9404,207873
AZ,"Navajo County",106802,379532,108147,497380
AZ,"Mohave County",214070,384829,217692,489914
AZ,"Gila County",53306,385221,53589,465862
AZ,"La Paz County",16580,480924,16408,578526
AZ,"Cochise County",125398,271079,126050,311628
AZ,"Yavapai County",237067,529352,242253,679816
AZ,"Maricopa County",4438342,494716,4496588,646148
AZ,"Pima County",1045599,369591,1052030,456227
AZ,"Apache County",65897,300309,65623,361051
AZ,"Yuma County",204437,247856,206990,306876
AZ,"Santa Cruz County",47653,312373,47883,375791
CA,"Monterey County",438500,1222385,437325,1465508
CA,"Solano County",453274,595648,451716,712396
CA,"Modoc County",8658,241099,8661,277226
CA,"Santa Barbara County",448096,1481045,446475,1812719
CA,"San Diego County",3297252,1024996,3286069,1284920
CA,"Glenn County",28893,413670,28805,480859
CA,"Orange County",3184101,1189251,3167809,1422203
CA,"Yolo County",216255,715900,216986,821665
CA,"Los Angeles County",9989165,1175029,9829544,1381649
CA,"Tulare County",473736,341385,477054,404672
CA,"Alpine County",1198,663372,1235,747743
CA,"Butte County",210083,477211,208309,542791
CA,"Del Norte County",27709,420312,28100,438535
CA,"Riverside County",2422764,561222,2458395,700721
CA,"San Bernardino County",2182740,534717,2194710,655577
CA,"Humboldt County",136351,474596,136310,550011
CA,"Sonoma County",488345,1041045,485887,1207198
CA,"Lassen County",32719,279483,33159,324008
CA,"Stanislaus County",552710,461362,552999,553634
CA,"Amador County",40541,454329,41259,517102
CA,"Napa County",137608,1311166,136207,1556644
CA,"Santa Clara County",1930598,2091910,1885508,2495908
CA,"Alameda County",1679844,1330441,1648556,1648755
CA,"El Dorado County",191114,713982,193221,945856
CA,"Sacramento County",1586241,543178,1588921,667245
CA,"Sierra County",3228,378653,3283,436335
CA,"Placer County",405741,790757,412300,959550
CA,"Yuba County",81932,389385,83421,457206
CA,"Mono County",13206,795531,13247,918637
CA,"Mendocino County",91354,580044,91305,661363
CA,"Lake County",68174,380516,68766,443526
CA,"Contra Costa County",1165562,1290897,1161413,1628027
CA,"Shasta County",181893,402839,182139,487151
CA,"Marin County",261776,2080144,260206,2399166
CA,"Trinity County",16088,396003,16060,449546
CA,"Tehama County",65615,373157,65498,427169
CA,"Merced County",281726,389196,286461,475002
CA,"Siskiyou County",43962,331427,44118,383252
CA,"Calaveras County",45327,479858,46221,599655
CA,"Nevada County",102199,747659,103487,997433
CA,"Santa Cruz County",270353,1276642,267792,1588754
CA,"Fresno County",1008966,411469,1013581,498148
CA,"Madera County",156620,414809,159410,482434
CA,"San Joaquin County",780517,543171,789410,698410
CA,"Imperial County",179489,297731,179851,361708
CA,"San Mateo County",762453,2393058,737888,2724181
CA,"Colusa County",21853,380883,21917,440016
CA,"Tuolumne County",55516,0,55810,490784
CA,"San Luis Obispo County",282231,960304,283159,1108381
CA,"Mariposa County",17124,432395,17147,492375
CA,"Kings County",152627,332546,153443,384702
CA,"Inyo County",19023,507071,18970,573222
CA,"San Benito County",64507,785269,66677,949546
CA,"Plumas County",19769,453203,19915,520776
CA,"Kern County",909997,333073,917673,397027
CA,"Ventura County",842921,914496,839784,1097042
CA,"Sutter County",99480,458406,99063,550276
CA,"San Francisco County",870014,2117986,815201,2200765
CO,"Saguache County",6383,283561,6471,328345
CO,"Boulder County",330811,993489,329543,1190078
CO,"Archuleta County",13424,570934,13790,664283
CO,"Pueblo County",168467,302551,169622,362969
CO,"Eagle County",55665,1870386,55727,2193412
CO,"Bent County",5635,148119,5759,175738
CO,"Douglas County",360102,755406,368990,922593
CO,"Rio Blanco County",6518,394509,6476,444747
CO,"Adams County",520163,493387,522140,591836
CO,"Rio Grande County",11538,359956,11408,404068
CO,"Prowers County",11986,175703,11996,199578
CO,"Mineral County",867,449186,924,525653
CO,"Otero County",18667,183447,18594,211937
CO,"Larimer County",359686,616588,362533,706830
CO,"Hinsdale County",794,497749,781,556455
CO,"Summit County",30971,1206347,30941,1505509
CO,"La Plata County",55642,682457,56250,824554
CO,"Crowley County",5893,138332,6012,166478
CO,"Las Animas County",14564,260013,14633,298957
CO,"Lincoln County",5669,249551,5688,291771
CO,"Huerfano County",6810,289485,6920,335845
CO,"Gilpin County",5810,537868,5873,626030
CO,"Yuma County",9979,293905,9941,329377
CO,"Park County",17421,508726,17720,594137
CO,"Broomfield County",74513,709434,75325,824005
CO,"Garfield County",61776,737926,62161,896656
CO,"Chaffee County",19571,581544,20074,673826
CO,"Fremont County",48981,371757,49661,420851
CO,"Lake County",7409,388190,7407,454932
CO,"Washington County",4815,215490,4861,251721
CO,"Phillips County",4534,244568,4512,284086
CO,"San Miguel County",8055,2661561,8074,3100774
CO,"Ouray County",4869,752291,5035,870600
CO,"El Paso County",731847,503575,737867,614098
CO,"Mesa County",155939,421539,157335,503826
CO,"Alamosa County",16362,282687,16547,318987
