StateName,JulyValue20,JulyValue21,JulyValue22
NY,489474,553452,618517
CA,685733,815943,933282
IL,245313,277631,313828
TX,263109,313134,397905
PA,258636,301935,338231
TX,225857,259225,312533
DC,448911,512803,555266
FL,310973,356273,467759
GA,251496,301376,382616
MA,505870,588656,661141
CA,1112141,1309817,1458909
MI,184618,216974,243049
CA,392521,488882,585817
AZ,300418,392363,478985
WA,543951,666783,781617
MN,302217,344953,377399
CA,616451,776488,907871
MO,188453,218534,244294
FL,235305,290807,386326
MD,302963,344784,377480
CO,453546,545603,638061
PA,166493,197339,211871
OR,431901,513562,582093
NC,253059,304300,388648
CA,433851,533912,615712
TX,238439,278774,339556
FL,265333,302816,399709
OH,197043,229755,262746
OH,165503,195680,220420
MO,215625,252778,288154
NV,296975,360260,453764
OH,224744,261000,301209
IN,195323,228335,271777
CA,1215432,1455332,1619785
TX,347665,492215,582073
VA,255701,289712,328320
TN,299281,347592,457360
RI,330958,395863,452465
WI,212865,249557,271771
FL,240451,286576,375228
TN,167521,195317,233002
OK,165784,186503,218494
KY,188896,215304,241642
CT,244353,287061,323880
VA,260267,295577,335294
LA,213815,238391,271110
NY,180937,222337,249405
NC,291170,348849,462285
AL,185657,211553,245833
UT,404120,510059,606689
NY,166442,194702,218475
MI,228136,267804,310956
AZ,232017,290755,348546
HI,720076,813147,942506
OK,157798,179106,213312
CA,277209,337197,390953
MA,309422,372817,422124
CT,421920,510558,574117
NM,225635,267155,315816
NY,212044,244292,276151
NE,211160,243697,272893
CT,240478,296873,333128
CA,238758,285243,339654
TN,206652,247647,317268
SC,215879,244361,305625
CA,620685,749816,862768
PA,221679,265025,303316
TX,141488,166896,198095
LA,192156,206059,236030
OH,144752,168966,190794
TX,126709,142293,171786
SC,169085,193193,238556
NC,165280,193103,233676
OH,161460,184064,209380
FL,288620,352600,502186
AR,155451,172199,197368
CA,382850,489328,562926
SC,285395,334247,421380
NY,155378,177652,200830
CO,339134,425432,493906
NC,165777,193886,239382
KS,149894,170314,191597
MA,246574,286077,320626
FL,249436,302797,430131
ID,334635,482814,511618
OH,132089,151029,170015
WI,294853,333215,378026
FL,199132,236929,316009
UT,345767,446334,530978
FL,230811,274311,360222
IA,213839,237824,267483
MS,142114,161985,186112
OH,104374,128005,147694
GA,163917,187635,222695
PA,124799,149199,176105
PA,199573,226669,257319
FL,233263,280752,365057
TN,188393,224003,276919
WA,295689,379578,451367
UT,385855,501080,589568
PA,242347,283480,324538
CA,343721,412537,472100
ME,339068,418322,477252
NC,280337,332089,437424
CA,650130,756199,829322
KY,202522,229641,269696
LA,162517,174420,196372
MI,172319,194891,218952
AR,204732,249015,310329
FL,199877,236047,297031
CA,238990,282828,334142
LA,118699,124849,135741
MO,166879,193255,238408
PA,198243,235891,262635
TX,175044,193623,221998
MI,132446,158925,175925
NV,396342,504232,575242
NC,284986,336493,408491
FL,248155,300197,411402
CA,657903,799154,967590
AL,208383,247569,306217
IN,159642,184172,212087
CA,615297,732822,843937
CA,460945,549894,614440
AL,134595,157162,181800
PA,197662,226630,266170
TX,115716,138304,170777
TX,167372,199895,262077
OH,142667,165738,185719
TX,134693,145399,162166
NH,322360,391871,448083
OR,324822,391711,447693
AK,314808,323434,364410
IL,137094,147831,161632
IL,116046,127413,142500
SC,217932,251129,341674
AL,140928,158113,184714
DE,270599,320781,384644
MS,146486,164881,199257
FL,188149,216421,253287
NJ,260551,306445,356133
NC,138541,160627,192624
NC,162526,190482,227019
WV,105763,115155,127804
OR,332412,404077,464943
IL,126257,147307,169416
GA,204184,232506,294837
MI,304284,337100,380880
FL,170320,198260,272308
MI,184291,214874,243357
FL,350056,425488,638048
IN,145695,169967,198538
SC,167459,192774,239789
IN,147536,171425,190606
TN,138941,156987,184057
VA,191031,217325,249485
WI,193570,225823,254201
NE,213577,248231,275570
CO,425253,489302,585636
NY,140086,166066,188684
GA,129682,147188,168691
CO,578557,691242,809342
TX,154974,174894,206256
PA,136290,156997,180767
AR,115000,126835,146198
MN,175672,198919,232226
NJ,211979,258523,310250
CT,252471,306842,342922
CA,640343,745337,887048
FL,207168,235234,286292
CA,872799,1091642,1291728
TN,187714,218904,273592
IA,166380,184342,207307
CA,284398,350156,423167
NC,271066,309568,396550
WA,315952,363854,438413
CO,390353,450684,538171
TX,173247,205640,260093
WA,367323,459177,539452
TX,147828,170643,201695
NY,126749,146867,164248
MD,208350,246604,286926
WA,412250,503263,584772
TX,160632,165486,186512
VA,191547,215308,254962
