RegionID,SizeRank,RegionName,RegionType,StateName,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,JulyValue20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,JulyValue21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,JulyValue22
102001,0,United States,Country,,128193,128540,128904,129647,130396,131143,131905,132717,133547,134382,135225,136087,136892,137633,138385,139189,140017,140829,141647,142493,143332,144175,144947,145685,146358,147060,147801,148584,149420,150299,151252,152248,153232,154222,155154,156085,156933,157798,158685,159644,160671,161693,162761,163888,165081,166272,167348,168376,169399,170574,171886,173321,174907,176595,178393,180161,181884,183523,185056,186613,188142,189748,191415,193330,195323,197400,199454,201521,203518,205375,207035,208522,209780,210996,212266,213642,214955,216057,216864,217473,217812,218057,218134,218178,218160,218179,218187,218205,218046,217692,217079,216430,215640,214818,213783,212737,211489,210138,208625,207045,205451,203768,201963,199903,197892,195956,194046,192141,190284,188830,187466,186196,184885,183686,182611,181573,180614,179867,179525,179381,179310,179203,179212,179380,179451,179238,178519,177566,176438,175341,174216,173197,172236,171372,170555,169698,168807,167959,167289,166702,166186,165642,165191,164782,164552,164442,164612,164937,165418,165873,166338,166781,167273,167856,168570,169372,170350,171444,172693,173956,175299,176667,178039,179310,180521,181683,182769,183808,184839,185900,186777,187497,188153,188826,189417,189825,190208,190699,191347,192081,192822,193648,194558,195505,196444,197255,197968,198650,199380,200144,200883,201758,202733,203792,204719,205715,206679,207658,208534,209373,210251,211197,212261,213358,214461,215590,216761,218013,219210,220357,221361,222368,223469,224683,225959,227265,228566,229946,231288,232616,233842,234963,236004,236989,237972,238944,239926,240926,241953,242900,243715,244419,245070,245676,246231,246794,247432,248151,248892,249725,250717,251870,253165,254395,255249,255960,257067,258998,261526,264366,267414,270482,273738,277120,280805,284695,289439,295010,300939,306376,311036,315164,319079,323445,328180,333400,338673,344230,349265,353446,355852
394913,1,"New York, NY",Msa,NY,225281,226627,227838,230222,232442,234805,237288,239859,242437,244988,247440,249736,251946,254377,256755,259237,261591,264135,266610,269287,271998,274989,277743,280401,283086,285701,288247,290704,293301,296248,299420,303340,307445,311544,315180,318858,322559,326361,330439,334233,338107,341818,345743,349522,352965,356175,359173,362097,365381,368657,372165,375545,379585,383902,388688,393463,398415,403322,407952,412190,416195,420161,424293,429231,434498,439689,444466,449266,454158,459171,463581,467920,471624,475509,478572,481404,483792,486119,487587,488034,487489,486125,484401,482521,480858,479702,479761,479554,479328,477713,475860,474013,472024,470768,469283,467862,466524,465030,462999,460768,457425,454395,450974,447981,444743,441189,437497,434075,430407,426938,423594,420326,417672,414847,412294,409434,407306,405703,404790,404213,404104,404397,404215,404169,403862,404448,404858,404910,404138,402621,400758,398623,397256,396165,395664,394505,393274,391456,389797,388104,386491,384839,383034,381487,380056,378760,377691,376984,376715,376684,376474,376142,375762,375469,375627,376056,376723,377619,378733,380467,382461,384377,386099,387572,389133,390849,392651,394227,396099,397786,399756,401480,403189,404602,405455,406064,406581,407062,407485,408134,408839,409849,410558,411781,412887,414170,414878,415242,415658,416154,417409,418354,419110,419730,420828,422522,424109,425356,426319,427169,428110,429238,430533,431961,433854,435500,437601,439309,441905,444145,446511,448419,450260,451977,453640,455342,457468,460084,463038,466072,468453,470112,470823,471527,472709,474409,476259,477827,478844,479724,480624,481629,482317,482515,482484,482210,481743,481205,480908,481448,482481,483963,485386,486883,487695,488253,489474,492071,496592,502097,508146,513992,518852,523611,527995,532756,538291,545487,553452,561079,567007,571576,575145,578396,582369,587022,593470,600621,608159,614185,618517
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,228935,229732,230953,233274,235763,238114,240521,243047,245453,247653,249690,251835,253483,255269,257172,259825,262427,264826,267280,269838,272491,275121,277413,279823,281811,284154,286944,290494,294530,298649,303832,309231,314726,319633,324507,329322,333376,337120,341263,345894,351666,356231,362191,368418,375801,381891,387810,393724,400684,408313,416958,426902,439096,451104,461749,470533,479378,488078,493822,499729,504994,512325,520020,527927,535538,542683,551095,560054,569257,578607,584924,591458,596988,602391,607308,611416,616590,620491,621726,623143,621390,621541,620329,620373,620531,620232,619149,617238,613802,610629,604731,598344,590511,583096,577503,570477,564197,554732,544394,530496,516272,503157,491253,480738,473282,465872,457870,447226,439631,435507,432560,429558,426574,422932,420422,418772,418874,419539,422406,427162,429081,428571,428834,431756,435465,434714,432151,427489,423410,419347,415661,414349,413642,414038,412293,410539,405668,404475,403295,401332,396965,392903,392459,392681,392068,391336,390665,391174,392245,393904,396475,398495,400868,404502,408823,415207,421480,430603,439543,449301,457333,465714,473018,480704,487163,492296,497975,502984,508611,511064,512029,511325,511349,511490,512327,510901,510446,510928,514082,517825,522373,527263,531087,532484,534377,536321,537502,538902,540899,545167,548497,554259,558133,562364,564130,567327,570427,573303,574046,575657,577895,582407,586102,588903,593313,596343,599668,601222,604371,608103,609644,611327,613507,618232,624104,629236,634100,639224,644200,648704,651230,654068,654496,655364,655810,659036,660871,660365,659216,657087,655758,655331,656290,657297,656371,657089,659776,664035,666027,667820,670767,676804,683698,688771,686880,684008,685733,694814,705326,715192,722609,728883,733969,741385,749179,760116,775630,795245,815943,829257,838279,842992,850126,859335,870012,882230,899552,918626,935074,936406,933282
394463,3,"Chicago, IL",Msa,IL,170843,171246,171768,172812,173918,175015,176228,177589,178995,180379,181636,182865,184016,185034,186189,187325,188724,190018,191325,192648,193984,195412,196598,197670,198584,199650,200935,202014,203223,204331,205815,207330,208797,210144,211109,212274,213398,214762,215991,217396,218605,219709,220732,222047,223530,224932,226173,227284,228632,229914,231230,232705,234332,236218,237920,239658,241120,242656,244189,245940,247554,249272,250947,252868,254866,256904,258774,260550,262462,264338,265953,267504,269010,270501,272014,273321,274763,275584,276282,276747,277108,277260,277342,277609,278194,278751,279115,279057,278738,278238,277578,276883,275781,274703,273673,272426,271167,,,264784,,261438,260456,257029,254936,251205,248224,244242,239855,236798,233568,232288,230002,228614,227010,225559,223066,220865,218700,218055,216926,216632,215107,215693,214913,215676,213129,211724,208967,207243,204298,201771,199480,197705,196581,194989,194296,192828,192395,191012,189855,187383,185959,183679,182580,180425,180276,179951,180411,180287,179467,178636,177661,178013,178405,178718,179454,180538,181531,182838,184083,186179,187863,189936,191548,193737,194719,196069,196815,198322,199104,199571,200248,201355,202237,202449,202781,203037,203497,204032,204528,205167,206071,207360,208329,208377,208342,208165,208184,208177,208407,209263,210353,212180,213526,214498,214962,215333,215963,216416,216876,217384,218413,219919,221786,223487,225289,226583,227552,227697,227776,227937,228590,229497,230642,232084,233692,235052,235856,236342,236797,237232,237645,237944,238595,239099,239877,240498,241035,241779,242246,242756,242815,242742,242702,242632,242629,242521,242528,242742,243225,243835,244367,244495,244327,244297,245313,246984,249880,252749,255562,257796,259333,261667,263790,266845,269609,273447,277631,281766,284853,287525,290233,292966,295614,298193,301504,304988,308971,311970,313828
394514,4,"Dallas-Fort Worth, TX",Msa,TX,130922,131027,131114,131327,131550,131736,131936,132305,132763,133295,133782,134278,134491,134168,133885,133766,133985,134052,134125,134421,134649,134853,134902,135049,135191,135487,135862,136409,136906,137597,138212,138855,139313,139731,140124,140489,140762,140905,141093,141291,141474,141669,141733,141901,142073,142347,142559,142569,143333,144832,,149171,150233,150582,150724,151109,151453,151825,152057,152234,152955,153293,153687,153833,154302,154774,155044,155364,155699,155706,155808,155660,155675,155908,156229,156840,157496,158127,158454,158568,158805,159578,160059,160571,160224,159781,159318,159528,160006,160433,160803,161206,161791,162130,162333,162497,161512,160230,158656,158079,157676,157398,157268,156707,155815,154677,153815,153257,152832,152884,153042,153360,153562,153514,153569,153325,153289,153181,153705,154095,154051,153791,153559,153914,154044,154094,153532,152705,151648,150739,149805,149287,148857,148350,147857,147156,146761,146176,146102,145954,146022,145882,145715,145313,145013,145401,145988,146674,147138,147717,148448,148885,149253,149576,150252,150931,151729,152417,153373,154346,155430,156546,157729,158671,159715,160879,162279,163527,164487,165552,166525,167497,168398,169496,170250,170995,171525,172525,173806,175265,176876,178443,180172,181906,183713,185524,187293,188470,189536,190720,192384,194292,195942,197658,199194,201026,202958,204811,206714,208062,209528,211068,213046,215143,216964,218855,220307,221956,223447,225031,226325,227608,229228,231067,232910,234557,236376,238386,240352,241897,243066,244196,245184,246402,247420,248508,249565,250884,252601,253739,254382,254426,254549,254552,254626,255325,256487,257048,257299,257195,258201,259149,260411,261027,261442,262051,263109,265473,268080,271192,273585,276194,278526,281917,285954,291501,297942,305296,313134,321065,328283,334386,339874,345774,353216,361748,369869,379389,388117,395694,397905
394974,5,"Philadelphia, PA",Msa,PA,130359,130796,131058,131710,132238,132835,133383,133967,134615,135286,135896,136436,136983,137642,138397,139181,139907,140671,141551,142523,143558,144499,145498,146271,147095,147874,148870,149984,151124,152407,153758,155475,157289,159096,160605,162143,163571,165014,166352,167897,169619,171503,173538,175656,177795,179722,181519,183029,184517,185956,187615,189487,191771,194391,197342,200493,203298,205636,207581,209760,212139,214198,216147,218193,220918,223981,227198,230255,233045,235793,238175,240402,242007,243596,245153,247013,248866,250579,251967,252862,253320,253549,253523,253333,252998,252951,253463,254040,254893,255250,255470,254964,254311,253864,253468,252970,251991,251625,251507,251657,250942,249697,247938,246116,244164,242322,240690,239202,237814,236858,236449,236221,235679,234804,233617,232523,231468,231042,230995,231080,231260,231296,231481,231691,232021,232162,231699,230528,228814,226918,225030,223528,222406,221723,221103,220141,218751,217114,215637,214447,213275,212200,211221,210491,209729,209012,208719,208701,208643,208157,207461,206785,206375,206049,205967,205889,206187,206510,207065,207679,208585,209527,210425,210996,211612,212055,212627,212971,213563,214133,214508,214357,214371,214543,214828,214694,214518,214441,214618,214946,215269,215526,215882,216387,216665,216764,216809,217074,217282,217308,217286,217300,217557,217934,218217,218631,219059,219820,220330,220868,221305,222004,222726,223736,224827,225755,226433,227016,227654,228139,228472,228959,229621,230647,231682,232824,233750,234970,236445,237954,238939,239448,239921,240455,241254,241990,243048,244058,245097,245850,246715,247374,248007,248234,248668,249119,249595,250010,250518,251400,252330,253333,253837,254869,255684,257009,258636,261256,264428,268120,271652,275347,278589,281719,284829,288168,292536,297387,301935,305571,308446,310909,313401,315690,318248,320804,324066,327757,332095,335593,338231
394692,6,"Houston, TX",Msa,TX,126394,126472,126353,126472,126479,126681,126811,127090,127446,127681,128200,128676,128926,128908,128450,128251,128193,128388,128551,128441,128537,128690,128911,129025,129158,129396,129948,130580,131182,131687,132197,132852,133387,133805,134082,134328,134710,135035,135441,135677,135915,136113,136330,136591,136751,136954,137100,137344,137816,138922,,142042,143368,143748,144738,145250,146098,146758,147414,148183,148875,149593,150133,150570,150763,150999,151106,151122,151059,150941,151098,151154,151324,151287,151502,151808,152490,153010,153601,154110,154767,155506,156126,156813,157139,157138,156931,157162,157696,158411,158812,159286,159624,159972,160181,160440,159928,159411,158811,158779,158539,158233,157968,157327,156515,155760,154855,153921,152938,152827,152857,153100,153343,153826,154410,154540,154332,153863,153863,154070,154068,154169,154519,155108,155481,155279,154429,153055,151910,151088,150593,150088,149511,148879,148018,147384,146893,146613,146492,146411,146210,145919,145048,144474,144282,144647,145240,145651,146168,146503,147054,147553,147891,147918,148213,148555,149365,150354,151984,153691,155294,156550,157828,159168,160524,161931,163236,164461,165854,167334,168573,169488,170322,171589,172968,174572,176116,177540,178878,180273,181829,183274,184898,186321,187725,188853,189577,190059,190554,191467,192327,193129,194148,195040,195593,195791,196375,197090,197785,198047,198307,198605,199562,200654,201321,201850,202376,203070,203518,203979,204255,204494,204812,205411,206163,206863,207536,208027,208535,209490,210502,211414,211988,212899,213878,214896,215682,216385,217359,218203,218694,218718,218816,219245,219719,220163,220469,221199,221931,222581,222532,222761,223362,224394,224987,225400,225857,226895,228820,230980,233386,235637,237955,240588,242493,244954,248130,253404,259225,265241,270123,274426,277596,281019,284479,288795,294155,300160,305742,309933,312533
395209,7,"Washington, DC",Msa,DC,192598,192844,193222,194026,195142,196369,197897,199548,201200,202852,204467,206354,208018,209537,211162,213215,215567,217948,220360,222846,225268,227552,229854,232142,234227,236182,238312,240902,243880,247102,250591,254240,257687,260810,263538,266237,268598,271372,274287,277617,280901,284390,288015,291582,295225,298873,302292,305439,308365,311984,316067,321102,326806,333338,340821,348303,355838,361824,367048,372226,378183,384063,390231,397568,406148,414521,422194,428909,435512,441373,446041,450317,453982,457829,461755,465040,467507,468377,468644,468110,465821,462679,460215,458723,457449,456102,454920,454404,453144,450443,446882,443221,440317,436734,432840,428221,424047,419435,414099,408207,401448,395138,388542,382546,376306,370850,366177,362276,357857,353587,349563,346371,344418,342983,341538,339726,337704,336609,336588,337809,339616,340565,341875,343247,345009,345245,344230,342504,341081,339864,338438,337455,337085,337908,338275,338425,337488,337008,335767,334669,333087,332126,332217,332365,332663,333187,334789,336305,337398,338360,339431,340288,341002,342548,345035,347804,350770,353474,356029,358218,360438,362348,364241,366202,369118,371994,374936,376814,378653,380597,382284,383467,383276,382799,382435,381944,381986,382130,382599,382902,382693,383376,384158,384449,384167,383755,383550,383128,383058,383682,384435,385486,386334,386601,386766,387538,388906,389731,390127,390389,391465,392550,393822,395319,397407,400057,401462,402207,401724,402054,402436,403782,405141,407013,408917,410156,411059,412005,413554,415221,416858,418304,419440,420260,421001,422049,423018,424669,426367,428313,429596,430374,430671,430925,430846,431712,433005,434988,436781,438204,439211,440328,441657,443577,444651,446260,448911,452993,457691,462331,467198,471837,476353,481177,486989,493805,501002,507764,512803,516403,518858,521732,524644,528050,531831,536883,542502,547919,552313,554619,555266
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,125820,126284,126698,127515,128186,128868,129581,130335,131134,131918,132771,133688,134568,135510,136641,137904,139363,140833,142563,144482,146492,148539,150286,151930,153399,154837,156189,157680,159249,160914,162676,164702,166600,168421,170016,172079,174118,176258,178422,180733,183129,185297,187436,189661,192081,194455,196781,198807,201143,203312,205805,208287,211538,215109,219003,223098,227215,231268,235007,239106,243020,247306,251941,257089,262890,269071,275960,282596,288988,294528,299409,303781,308158,312019,316413,321946,327369,332037,334784,336691,337719,337974,338510,338445,337921,337034,335125,332777,329796,326679,322974,318921,314511,310804,306052,301546,295201,289604,282718,276971,270675,265348,259059,252212,244860,237589,230981,225101,219667,214974,210029,205593,200806,197032,193585,190770,188165,186356,184963,183472,182578,182139,182242,181944,181208,179747,178314,176738,175379,173424,171843,170418,169090,167858,166759,166051,165070,163961,162830,162146,161781,161695,161813,161913,162318,162384,162841,163264,164084,164936,165848,167195,168889,170602,172080,173663,175842,178396,181169,184061,186813,188986,191467,194124,197249,200173,203760,207256,210650,212921,215014,216025,217529,218696,220608,222049,223569,225207,226254,227709,228893,230675,231757,232958,233903,235125,236130,237342,238927,240405,242343,244116,246070,247610,248812,250056,251406,253299,255278,257003,258300,259675,261299,263164,264638,265935,266765,268000,269234,270578,271775,273358,274811,276600,277676,279155,280064,281759,283572,285167,286874,288345,290071,291160,292013,292779,294688,296357,298010,298188,298733,299141,299423,299948,300256,300377,300306,300892,301650,302076,302825,304887,306832,308471,309496,310330,310973,312343,314664,317424,319969,323011,326339,329373,333226,336889,342612,348867,356273,363719,371875,380093,387780,395054,403111,410726,420978,431694,445225,457031,467759
394347,9,"Atlanta, GA",Msa,GA,153805,154316,154843,155908,156950,157979,158950,160004,161072,162219,163232,164338,165337,166324,167168,167978,168816,169599,170365,171143,171929,172695,173399,174098,174763,175465,176062,176685,177193,177703,178107,178531,178963,179438,179849,180186,180533,180862,181264,181598,181922,182215,182482,182850,183201,183546,183818,184164,184425,184742,185036,185549,186004,186400,186745,187238,187763,188306,188705,189127,189599,190151,190671,191252,191951,192741,193398,194017,194628,195265,195877,196487,197112,197694,198166,198665,199179,199822,200545,201201,201694,202016,202221,202562,202818,203150,203508,203953,204379,204619,204773,204703,204327,203724,202815,202037,200674,199279,197587,196511,195549,194559,193257,191740,190124,188224,185633,182351,179073,176247,173891,171529,169318,167495,166229,165235,164134,162889,161803,161120,160294,159587,158988,159050,159082,158827,157383,155475,152949,150962,148890,147120,145231,143800,142256,140560,138273,136204,134599,133862,133624,133528,133221,132114,131377,130748,131481,132209,133208,134183,135213,135747,135624,135722,136540,137682,139082,140649,142534,144263,146166,148131,150129,152321,154607,156889,158835,160827,162476,163961,165096,166248,167302,168197,169184,169943,170714,171425,172283,173220,174129,174950,175612,176472,177612,178851,179676,180442,181253,182147,183098,184081,185281,186439,187810,189240,190497,191323,191887,192410,192929,193909,195131,196850,198089,199437,200479,201696,202916,204298,205745,206911,208495,210024,211844,213760,215848,217878,219320,220703,222035,223474,224986,226511,228209,229949,231587,233091,234216,235313,236467,237706,238717,239120,239610,240320,241297,242096,242860,243949,245117,246605,247672,248733,249267,250128,251496,253621,256328,259301,262421,265768,269105,273033,277016,281804,287226,294008,301376,308809,315871,323286,330826,338641,346109,352903,360053,367476,374700,380060,382616
