COUNTY,STNAME,CTYNAME,POPESTIMATE2020,POPESTIMATE2021
0,AL,Alabama,5024803,5039877
1,AL,Autauga County,58877,59095
3,AL,Baldwin County,233140,239294
5,AL,Barbour County,25180,24964
7,AL,Bibb County,22223,22477
9,AL,Blount County,59081,59041
11,AL,Bullock County,10309,10320
13,AL,Butler County,19045,18884
15,AL,Calhoun County,116266,115972
17,AL,Chambers County,34678,34541
19,AL,Cherokee County,24958,24996
21,AL,Chilton County,45024,45274
23,AL,Choctaw County,12619,12533
25,AL,Clarke County,22995,22760
27,AL,Clay County,14193,14190
29,AL,Cleburne County,15035,15103
31,AL,Coffee County,53565,54174
33,AL,Colbert County,57236,57474
35,AL,Conecuh County,11552,11328
37,AL,Coosa County,10383,10450
39,AL,Covington County,37469,37524
41,AL,Crenshaw County,13157,13083
43,AL,Cullman County,88044,89496
45,AL,Dale County,49214,49342
47,AL,Dallas County,38190,37619
49,AL,De Kalb County,71630,71813
51,AL,Elmore County,88116,89304
53,AL,Escambia County,36665,36699
55,AL,Etowah County,103393,103162
57,AL,Fayette County,16307,16148
59,AL,Franklin County,32063,32013
61,AL,Geneva County,26675,26701
63,AL,Greene County,7704,7629
65,AL,Hale County,14792,14754
67,AL,Henry County,17167,17459
69,AL,Houston County,107190,107458
71,AL,Jackson County,52519,52773
73,AL,Jefferson County,673341,667820
75,AL,Lamar County,13943,13689
77,AL,Lauderdale County,93610,94043
79,AL,Lawrence County,33063,33090
81,AL,Lee County,174601,177218
83,AL,Limestone County,104322,107517
85,AL,Lowndes County,10297,9965
87,AL,Macon County,19476,18895
89,AL,Madison County,389696,395211
91,AL,Marengo County,19264,18996
93,AL,Marion County,29287,29246
95,AL,Marshall County,97608,98228
97,AL,Mobile County,414250,413073
99,AL,Monroe County,19723,19648
101,AL,Montgomery County,228448,227434
103,AL,Morgan County,123336,123668
105,AL,Perry County,8452,8355
107,AL,Pickens County,19062,18801
109,AL,Pike County,32981,32991
111,AL,Randolph County,21971,21989
113,AL,Russell County,59226,58722
115,AL,Saint Clair County,91333,92748
117,AL,Shelby County,223708,226902
119,AL,Sumter County,12295,12164
121,AL,Talladega County,82069,81524
123,AL,Tallapoosa County,41229,41023
125,AL,Tuscaloosa County,227153,227007
127,AL,Walker County,65100,64818
129,AL,Washington County,15296,15147
131,AL,Wilcox County,10518,10446
133,AL,Winston County,23491,23652
0,AK,Alaska,732441,732673
13,AK,Aleutians East Borough,3418,3398
16,AK,Aleutians West Census Area,5206,5059
20,AK,Anchorage Borough,290637,288121
50,AK,Bethel Census Area,18648,18557
60,AK,Bristol Bay Borough,831,838
63,AK,Chugach Census Area,7073,6941
66,AK,Copper River Census Area,2616,2630
68,AK,Denali Borough,1611,1593
70,AK,Dillingham Census Area,4839,4772
90,AK,Fairbanks North Star Borough,95286,95593
100,AK,Haines Borough,2085,2071
105,AK,Hoonah-Angoon Census Area,2361,2332
110,AK,Juneau Borough,32195,31973
122,AK,Kenai Peninsula Borough,58893,59767
130,AK,Ketchikan Gateway Borough,13902,13754
150,AK,Kodiak Island Borough,13023,12787
158,AK,Kusilvak Census Area,8357,8360
164,AK,Lake and Peninsula Borough,1454,1416
170,AK,Matanuska Susitna Borough,107460,110686
180,AK,Nome Census Area,10032,9865
185,AK,North Slope Borough,10993,10972
188,AK,Northwest Arctic Borough,7784,7560
195,AK,Petersburg Borough,3401,3356
198,AK,Prince of Wales-Hyder Census Area,5725,5729
220,AK,Sitka City and Borough,8428,8407
230,AK,Skagway Municipality,1239,1132
240,AK,Southeast Fairbanks Census Area,6831,6970
275,AK,Wrangell City and Borough,2130,2055
282,AK,Yakutat City and Borough,683,704
290,AK,Yukon-Koyukuk Census Area,5300,5275
0,AZ,Arizona,7177986,7276316
1,AZ,Apache County,65897,65623
3,AZ,Cochise County,125398,126050
5,AZ,Coconino County,145116,145052
7,AZ,Gila County,53306,53589
9,AZ,Graham County,38614,39050
11,AZ,Greenlee County,9522,9404
12,AZ,La Paz County,16580,16408
13,AZ,Maricopa County,4438342,4496588
15,AZ,Mohave County,214070,217692
